id,ViewCount_2022-04-13,LikeCount_2022-04-13,FavoriteCount_2022-04-13,CommentCount_2022-04-13,viewCount_2022-04-14,likeCount_2022-04-14,favoriteCount2022-04-14,commentCount2022-04-14,viewCount_2022-04-15,likeCount_2022-04-15,favoriteCount2022-04-15,commentCount2022-04-15,viewCount_2022-04-16,likeCount_2022-04-16,favoriteCount2022-04-16,commentCount2022-04-16,viewCount_2022-04-17,likeCount_2022-04-17,favoriteCount2022-04-17,commentCount2022-04-17,viewCount_2022-04-18,likeCount_2022-04-18,favoriteCount2022-04-18,commentCount2022-04-18,viewCount_2022-04-19,likeCount_2022-04-19,favoriteCount2022-04-19,commentCount2022-04-19,viewCount_2022-04-20,likeCount_2022-04-20,favoriteCount2022-04-20,commentCount2022-04-20,viewCount_2022-04-21,likeCount_2022-04-21,favoriteCount2022-04-21,commentCount2022-04-21,viewCount_2022-04-22,likeCount_2022-04-22,favoriteCount2022-04-22,commentCount2022-04-22,viewCount_2022-04-23,likeCount_2022-04-23,favoriteCount2022-04-23,commentCount2022-04-23,viewCount_2022-04-24,likeCount_2022-04-24,favoriteCount2022-04-24,commentCount2022-04-24,viewCount_2022-04-25,likeCount_2022-04-25,favoriteCount2022-04-25,commentCount2022-04-25,viewCount_2022-04-26,likeCount_2022-04-26,favoriteCount2022-04-26,commentCount2022-04-26,viewCount_2022-04-27,likeCount_2022-04-27,favoriteCount2022-04-27,commentCount2022-04-27,viewCount_2022-04-28,likeCount_2022-04-28,favoriteCount2022-04-28,commentCount2022-04-28,viewCount_2022-04-29,likeCount_2022-04-29,favoriteCount2022-04-29,commentCount2022-04-29,viewCount_2022-04-30,likeCount_2022-04-30,favoriteCount2022-04-30,commentCount2022-04-30
4kVKdzSUYqc,2561298,189410.0,0,491.0,251171.0,208011.0,0.0,538.0,364840.0,229958.0,0.0,594.0,232983.0,243474.0,0.0,633.0,203261.0,256822.0,0.0,666.0,91814.0,261980.0,0.0,678.0,45249.0,265408.0,0.0,683.0,99371.0,272027.0,0.0,705.0,113936.0,278291.0,0.0,726.0,123814.0,284493.0,0.0,751.0,76730.0,289147.0,0.0,763.0,124650.0,296228.0,0.0,788.0,77085.0,300384.0,0.0,795.0,46465.0,302619.0,0.0,800.0,56856.0,305587.0,0.0,811.0,44121.0,307864.0,0.0,820.0,32978.0,309737.0,0.0,828.0,25311.0,311437.0,0.0,831.0
uKpwKofBvzY,23635337,874775.0,0,3270.0,-23311473.0,13433.0,0.0,765.0,34672.0,14145.0,0.0,790.0,16988.0,14486.0,0.0,794.0,12140.0,14727.0,0.0,801.0,6853.0,14869.0,0.0,807.0,3817.0,14967.0,0.0,809.0,4463.0,15063.0,0.0,810.0,3354.0,15138.0,0.0,810.0,2957.0,15198.0,0.0,816.0,1690.0,15254.0,0.0,820.0,2605.0,15298.0,0.0,820.0,2124.0,15339.0,0.0,824.0,2181.0,15383.0,0.0,824.0,2307.0,15424.0,0.0,825.0,1958.0,15454.0,0.0,825.0,1744.0,15490.0,0.0,825.0,1208.0,15520.0,0.0,825.0
NoQI7F1XS7Q,277034,12332.0,0,714.0,467539.0,0.0,0.0,0.0,121970.0,0.0,0.0,0.0,121071.0,0.0,0.0,0.0,115799.0,0.0,0.0,0.0,96335.0,0.0,0.0,0.0,101146.0,0.0,0.0,0.0,129017.0,0.0,0.0,0.0,118302.0,0.0,0.0,0.0,116846.0,0.0,0.0,0.0,105278.0,0.0,0.0,0.0,108284.0,0.0,0.0,0.0,109799.0,0.0,0.0,0.0,32070.0,0.0,0.0,0.0,13783.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,415.0,1.0,0.0,0.0
L1QNg1vEAJw,678397,0.0,0,0.0,324521.0,30740.0,0.0,1826.0,8443.0,30917.0,0.0,1828.0,4288.0,30991.0,0.0,1832.0,4311.0,31063.0,0.0,1836.0,2257.0,31095.0,0.0,1837.0,1220.0,31114.0,0.0,1841.0,2013.0,31162.0,0.0,1839.0,2038.0,31205.0,0.0,1840.0,1887.0,31245.0,0.0,1843.0,1113.0,31276.0,0.0,1843.0,1948.0,31341.0,0.0,1846.0,1455.0,31374.0,0.0,1848.0,1467.0,31419.0,0.0,1851.0,1159.0,31458.0,0.0,1851.0,938.0,31486.0,0.0,1851.0,624.0,31503.0,0.0,1851.0,308.0,31513.0,0.0,1853.0
in66Uz2OQYg,995249,30535.0,0,1821.0,1818045.0,71497.0,0.0,593.0,268049.0,74056.0,0.0,617.0,93254.0,74873.0,0.0,636.0,78372.0,75609.0,0.0,641.0,39053.0,75914.0,0.0,644.0,24858.0,76121.0,0.0,645.0,19205.0,76295.0,0.0,649.0,15187.0,76439.0,0.0,652.0,9945.0,76537.0,0.0,655.0,6170.0,76581.0,0.0,655.0,7052.0,76665.0,0.0,655.0,4429.0,76699.0,0.0,656.0,3463.0,76736.0,0.0,656.0,4001.0,76763.0,0.0,657.0,2766.0,76782.0,0.0,658.0,2072.0,76804.0,0.0,659.0,2120.0,76824.0,0.0,659.0
5Xq5pC8Tp-0,2560940,67472.0,0,579.0,-2068475.0,3533.0,0.0,272.0,62111.0,3898.0,0.0,292.0,49871.0,4148.0,0.0,310.0,48597.0,4350.0,0.0,319.0,19494.0,4480.0,0.0,325.0,12442.0,4557.0,0.0,327.0,17396.0,4692.0,0.0,335.0,12741.0,4775.0,0.0,339.0,11843.0,4854.0,0.0,342.0,9625.0,4904.0,0.0,348.0,12078.0,4988.0,0.0,356.0,9677.0,5051.0,0.0,358.0,8374.0,5100.0,0.0,358.0,5866.0,5136.0,0.0,359.0,5024.0,5163.0,0.0,361.0,3762.0,5187.0,0.0,361.0,4458.0,5216.0,0.0,362.0
LNSbAa8rsVY,464932,3362.0,0,259.0,-365821.0,2837.0,0.0,243.0,52311.0,3558.0,0.0,291.0,35849.0,3972.0,0.0,332.0,31381.0,4311.0,0.0,358.0,15801.0,4492.0,0.0,369.0,8495.0,4560.0,0.0,372.0,11492.0,4729.0,0.0,377.0,8535.0,4821.0,0.0,381.0,7887.0,4909.0,0.0,390.0,3939.0,4960.0,0.0,392.0,4702.0,5033.0,0.0,397.0,3234.0,5095.0,0.0,399.0,2548.0,5122.0,0.0,401.0,3182.0,5174.0,0.0,403.0,2725.0,5201.0,0.0,404.0,2432.0,5260.0,0.0,406.0,1850.0,5283.0,0.0,407.0
9TMgWpmQyAM,70996,2421.0,0,213.0,172676.0,9.0,0.0,0.0,65442.0,10.0,0.0,0.0,21786.0,10.0,0.0,0.0,20704.0,10.0,0.0,0.0,26194.0,10.0,0.0,0.0,36704.0,10.0,0.0,0.0,45579.0,10.0,0.0,0.0,51977.0,10.0,0.0,0.0,55493.0,10.0,0.0,0.0,41872.0,11.0,0.0,0.0,55235.0,11.0,0.0,0.0,49601.0,11.0,0.0,0.0,26520.0,11.0,0.0,0.0,38128.0,11.0,0.0,0.0,32396.0,11.0,0.0,0.0,22934.0,11.0,0.0,0.0,10419.0,11.0,0.0,0.0
2Jo9CeNd6nU,221970,9.0,0,0.0,7053.0,13346.0,0.0,521.0,3515.0,13435.0,0.0,525.0,2277.0,13481.0,0.0,524.0,2703.0,13554.0,0.0,525.0,1887.0,13600.0,0.0,525.0,1025.0,13642.0,0.0,525.0,1052.0,13678.0,0.0,526.0,1053.0,13702.0,0.0,527.0,1057.0,13728.0,0.0,529.0,805.0,13748.0,0.0,530.0,1077.0,13773.0,0.0,530.0,663.0,13797.0,0.0,530.0,351.0,13803.0,0.0,530.0,384.0,13815.0,0.0,530.0,289.0,13822.0,0.0,530.0,292.0,13830.0,0.0,530.0,168.0,13836.0,0.0,530.0
yJbTQ8NxrQs,226175,13226.0,0,521.0,2200398.0,29037.0,0.0,193.0,86291.0,29855.0,0.0,199.0,60048.0,30369.0,0.0,202.0,60845.0,30815.0,0.0,209.0,17475.0,30860.0,0.0,209.0,6721.0,30879.0,0.0,209.0,5857.0,30902.0,0.0,210.0,3563.0,30912.0,0.0,203.0,2826.0,30922.0,0.0,203.0,2106.0,30931.0,0.0,203.0,2526.0,30929.0,0.0,203.0,1994.0,30931.0,0.0,203.0,1352.0,30933.0,0.0,203.0,1333.0,30934.0,0.0,203.0,1015.0,30934.0,0.0,203.0,701.0,30929.0,0.0,203.0,655.0,30933.0,0.0,203.0
